Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,1,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,2,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,2,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,32,3,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,35,3,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,4,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,5,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,10,5,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,27,6,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,17,6,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,98,7,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,45,7,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,388,8,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,320,8,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,36,9,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,35,9,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,10,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,10,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,62,11,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,51,11,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,67,12,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,149,12,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,13,13,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,13,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,34,14,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,24,14,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,172,15,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,119,15,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,71,16,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,80,16,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,7536,17,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,6543,17,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,173,18,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,169,18,2
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,19,1
2021-01-01,6,Gràcia,28,Vallcarca i els Penitents,..,19,2
2021-01-01,6,Gràcia,29,el Coll,..,1,1
2021-01-01,6,Gràcia,29,el Coll,..,2,1
2021-01-01,6,Gràcia,29,el Coll,..,2,2
2021-01-01,6,Gràcia,29,el Coll,28,3,1
2021-01-01,6,Gràcia,29,el Coll,33,3,2
2021-01-01,6,Gràcia,29,el Coll,..,4,1
2021-01-01,6,Gràcia,29,el Coll,..,4,2
2021-01-01,6,Gràcia,29,el Coll,5,5,1
2021-01-01,6,Gràcia,29,el Coll,10,5,2
2021-01-01,6,Gràcia,29,el Coll,16,6,1
2021-01-01,6,Gràcia,29,el Coll,13,6,2
2021-01-01,6,Gràcia,29,el Coll,104,7,1
2021-01-01,6,Gràcia,29,el Coll,57,7,2
2021-01-01,6,Gràcia,29,el Coll,228,8,1
2021-01-01,6,Gràcia,29,el Coll,182,8,2
2021-01-01,6,Gràcia,29,el Coll,9,9,1
2021-01-01,6,Gràcia,29,el Coll,10,9,2
2021-01-01,6,Gràcia,29,el Coll,..,10,1
2021-01-01,6,Gràcia,29,el Coll,19,11,1
2021-01-01,6,Gràcia,29,el Coll,5,11,2
2021-01-01,6,Gràcia,29,el Coll,32,12,1
2021-01-01,6,Gràcia,29,el Coll,59,12,2
2021-01-01,6,Gràcia,29,el Coll,11,13,1
2021-01-01,6,Gràcia,29,el Coll,12,13,2
2021-01-01,6,Gràcia,29,el Coll,9,14,1
