Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,LLOC_NAIX
2021-01-01,7,Horta-Guinardó,37,el Carmel,..,6,4
2021-01-01,7,Horta-Guinardó,37,el Carmel,69,6,5
2021-01-01,7,Horta-Guinardó,38,la Teixonera,19,1,1
2021-01-01,7,Horta-Guinardó,38,la Teixonera,..,1,2
2021-01-01,7,Horta-Guinardó,38,la Teixonera,287,1,3
2021-01-01,7,Horta-Guinardó,38,la Teixonera,7,1,5
2021-01-01,7,Horta-Guinardó,38,la Teixonera,483,2,1
2021-01-01,7,Horta-Guinardó,38,la Teixonera,80,2,2
2021-01-01,7,Horta-Guinardó,38,la Teixonera,1243,2,3
2021-01-01,7,Horta-Guinardó,38,la Teixonera,24,2,4
2021-01-01,7,Horta-Guinardó,38,la Teixonera,425,2,5
2021-01-01,7,Horta-Guinardó,38,la Teixonera,1636,3,1
2021-01-01,7,Horta-Guinardó,38,la Teixonera,135,3,2
2021-01-01,7,Horta-Guinardó,38,la Teixonera,585,3,3
2021-01-01,7,Horta-Guinardó,38,la Teixonera,63,3,4
2021-01-01,7,Horta-Guinardó,38,la Teixonera,728,3,5
2021-01-01,7,Horta-Guinardó,38,la Teixonera,1381,4,1
2021-01-01,7,Horta-Guinardó,38,la Teixonera,98,4,2
2021-01-01,7,Horta-Guinardó,38,la Teixonera,269,4,3
2021-01-01,7,Horta-Guinardó,38,la Teixonera,90,4,4
2021-01-01,7,Horta-Guinardó,38,la Teixonera,784,4,5
2021-01-01,7,Horta-Guinardó,38,la Teixonera,869,5,1
2021-01-01,7,Horta-Guinardó,38,la Teixonera,111,5,2
2021-01-01,7,Horta-Guinardó,38,la Teixonera,207,5,3
2021-01-01,7,Horta-Guinardó,38,la Teixonera,136,5,4
2021-01-01,7,Horta-Guinardó,38,la Teixonera,686,5,5
2021-01-01,7,Horta-Guinardó,38,la Teixonera,..,5,6
2021-01-01,7,Horta-Guinardó,38,la Teixonera,139,6,1
2021-01-01,7,Horta-Guinardó,38,la Teixonera,6,6,2
2021-01-01,7,Horta-Guinardó,38,la Teixonera,7,6,3
2021-01-01,7,Horta-Guinardó,38,la Teixonera,..,6,4
2021-01-01,7,Horta-Guinardó,38,la Teixonera,24,6,5
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,31,1,1
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,..,1,2
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,186,1,3
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,..,1,4
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,..,1,5
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,311,2,1
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,57,2,2
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,621,2,3
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,11,2,4
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,232,2,5
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,859,3,1
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,113,3,2
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,284,3,3
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,36,3,4
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,465,3,5
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,841,4,1
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,85,4,2
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,184,4,3
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,45,4,4
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,537,4,5
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,567,5,1
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,76,5,2
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,180,5,3
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,71,5,4
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,488,5,5
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,..,5,6
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,66,6,1
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,8,6,2
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,..,6,3
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,..,6,4
2021-01-01,7,Horta-Guinardó,39,Sant Genís dels Agudells,44,6,5
2021-01-01,7,Horta-Guinardó,40,Montbau,40,1,1
2021-01-01,7,Horta-Guinardó,40,Montbau,15,1,2
2021-01-01,7,Horta-Guinardó,40,Montbau,130,1,3
2021-01-01,7,Horta-Guinardó,40,Montbau,..,1,4
2021-01-01,7,Horta-Guinardó,40,Montbau,5,1,5
2021-01-01,7,Horta-Guinardó,40,Montbau,222,2,1
2021-01-01,7,Horta-Guinardó,40,Montbau,56,2,2
2021-01-01,7,Horta-Guinardó,40,Montbau,293,2,3
2021-01-01,7,Horta-Guinardó,40,Montbau,..,2,4
2021-01-01,7,Horta-Guinardó,40,Montbau,105,2,5
2021-01-01,7,Horta-Guinardó,40,Montbau,588,3,1
2021-01-01,7,Horta-Guinardó,40,Montbau,82,3,2
2021-01-01,7,Horta-Guinardó,40,Montbau,170,3,3
2021-01-01,7,Horta-Guinardó,40,Montbau,16,3,4
2021-01-01,7,Horta-Guinardó,40,Montbau,223,3,5
2021-01-01,7,Horta-Guinardó,40,Montbau,715,4,1
2021-01-01,7,Horta-Guinardó,40,Montbau,63,4,2
2021-01-01,7,Horta-Guinardó,40,Montbau,120,4,3
2021-01-01,7,Horta-Guinardó,40,Montbau,23,4,4
2021-01-01,7,Horta-Guinardó,40,Montbau,281,4,5
2021-01-01,7,Horta-Guinardó,40,Montbau,588,5,1
2021-01-01,7,Horta-Guinardó,40,Montbau,92,5,2
2021-01-01,7,Horta-Guinardó,40,Montbau,171,5,3
2021-01-01,7,Horta-Guinardó,40,Montbau,58,5,4
2021-01-01,7,Horta-Guinardó,40,Montbau,379,5,5
2021-01-01,7,Horta-Guinardó,40,Montbau,45,6,1
2021-01-01,7,Horta-Guinardó,40,Montbau,..,6,2
2021-01-01,7,Horta-Guinardó,40,Montbau,..,6,3
2021-01-01,7,Horta-Guinardó,40,Montbau,7,6,5
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,15,1,1
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,10,1,2
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,85,1,3
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,..,1,5
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,180,2,1
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,52,2,2
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,469,2,3
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,18,2,4
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,72,2,5
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,587,3,1
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,81,3,2
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,283,3,3
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,22,3,4
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,180,3,5
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,852,4,1
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,85,4,2
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,231,4,3
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,46,4,4
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,222,4,5
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,831,5,1
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,155,5,2
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,291,5,3
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,47,5,4
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,329,5,5
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,38,6,1
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,..,6,2
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,..,6,3
2021-01-01,7,Horta-Guinardó,41,la Vall d'Hebron,7,6,5
2021-01-01,7,Horta-Guinardó,42,la Clota,..,1,1
2021-01-01,7,Horta-Guinardó,42,la Clota,9,1,3
2021-01-01,7,Horta-Guinardó,42,la Clota,..,1,5
2021-01-01,7,Horta-Guinardó,42,la Clota,29,2,1
2021-01-01,7,Horta-Guinardó,42,la Clota,..,2,2
2021-01-01,7,Horta-Guinardó,42,la Clota,28,2,3
2021-01-01,7,Horta-Guinardó,42,la Clota,30,2,5
2021-01-01,7,Horta-Guinardó,42,la Clota,107,3,1
2021-01-01,7,Horta-Guinardó,42,la Clota,9,3,2
2021-01-01,7,Horta-Guinardó,42,la Clota,18,3,3
2021-01-01,7,Horta-Guinardó,42,la Clota,..,3,4
2021-01-01,7,Horta-Guinardó,42,la Clota,25,3,5
2021-01-01,7,Horta-Guinardó,42,la Clota,83,4,1
2021-01-01,7,Horta-Guinardó,42,la Clota,..,4,2
2021-01-01,7,Horta-Guinardó,42,la Clota,12,4,3
2021-01-01,7,Horta-Guinardó,42,la Clota,7,4,4
2021-01-01,7,Horta-Guinardó,42,la Clota,37,4,5
2021-01-01,7,Horta-Guinardó,42,la Clota,102,5,1
2021-01-01,7,Horta-Guinardó,42,la Clota,18,5,2
2021-01-01,7,Horta-Guinardó,42,la Clota,13,5,3
2021-01-01,7,Horta-Guinardó,42,la Clota,5,5,4
2021-01-01,7,Horta-Guinardó,42,la Clota,30,5,5
2021-01-01,7,Horta-Guinardó,42,la Clota,5,6,1
2021-01-01,7,Horta-Guinardó,42,la Clota,..,6,5
2021-01-01,7,Horta-Guinardó,43,Horta,108,1,1
2021-01-01,7,Horta-Guinardó,43,Horta,27,1,2
2021-01-01,7,Horta-Guinardó,43,Horta,539,1,3
2021-01-01,7,Horta-Guinardó,43,Horta,5,1,4
2021-01-01,7,Horta-Guinardó,43,Horta,10,1,5
2021-01-01,7,Horta-Guinardó,43,Horta,1298,2,1
2021-01-01,7,Horta-Guinardó,43,Horta,247,2,2
2021-01-01,7,Horta-Guinardó,43,Horta,2134,2,3
2021-01-01,7,Horta-Guinardó,43,Horta,78,2,4
2021-01-01,7,Horta-Guinardó,43,Horta,849,2,5
2021-01-01,7,Horta-Guinardó,43,Horta,3121,3,1
2021-01-01,7,Horta-Guinardó,43,Horta,308,3,2
2021-01-01,7,Horta-Guinardó,43,Horta,993,3,3
2021-01-01,7,Horta-Guinardó,43,Horta,74,3,4
2021-01-01,7,Horta-Guinardó,43,Horta,1505,3,5
2021-01-01,7,Horta-Guinardó,43,Horta,4038,4,1
2021-01-01,7,Horta-Guinardó,43,Horta,335,4,2
2021-01-01,7,Horta-Guinardó,43,Horta,675,4,3
2021-01-01,7,Horta-Guinardó,43,Horta,148,4,4
2021-01-01,7,Horta-Guinardó,43,Horta,1468,4,5
2021-01-01,7,Horta-Guinardó,43,Horta,3493,5,1
2021-01-01,7,Horta-Guinardó,43,Horta,465,5,2
2021-01-01,7,Horta-Guinardó,43,Horta,653,5,3
2021-01-01,7,Horta-Guinardó,43,Horta,238,5,4
2021-01-01,7,Horta-Guinardó,43,Horta,1235,5,5
2021-01-01,7,Horta-Guinardó,43,Horta,260,6,1
2021-01-01,7,Horta-Guinardó,43,Horta,30,6,2
2021-01-01,7,Horta-Guinardó,43,Horta,10,6,3
2021-01-01,7,Horta-Guinardó,43,Horta,5,6,4
2021-01-01,7,Horta-Guinardó,43,Horta,61,6,5
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,94,1,1
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,36,1,2
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,441,1,3
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,..,1,4
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,12,1,5
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,944,2,1
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,249,2,2
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2001,2,3
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,63,2,4
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,913,2,5
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2710,3,1
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,337,3,2
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1122,3,3
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,84,3,4
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1553,3,5
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,3470,4,1
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,323,4,2
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,736,4,3
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,140,4,4
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1581,4,5
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,..,4,6
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2934,5,1
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,417,5,2
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,675,5,3
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,212,5,4
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1298,5,5
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,244,6,1
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,26,6,2
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,13,6,3
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,..,6,4
2021-01-01,8,Nou Barris,44,Vilapicina i la Torre Llobeta,64,6,5
2021-01-01,8,Nou Barris,45,Porta,88,1,1
2021-01-01,8,Nou Barris,45,Porta,37,1,2
2021-01-01,8,Nou Barris,45,Porta,601,1,3
2021-01-01,8,Nou Barris,45,Porta,6,1,4
2021-01-01,8,Nou Barris,45,Porta,15,1,5
2021-01-01,8,Nou Barris,45,Porta,1049,2,1
2021-01-01,8,Nou Barris,45,Porta,236,2,2
2021-01-01,8,Nou Barris,45,Porta,2495,2,3
2021-01-01,8,Nou Barris,45,Porta,79,2,4
2021-01-01,8,Nou Barris,45,Porta,1587,2,5
2021-01-01,8,Nou Barris,45,Porta,2766,3,1
2021-01-01,8,Nou Barris,45,Porta,352,3,2
2021-01-01,8,Nou Barris,45,Porta,1154,3,3
2021-01-01,8,Nou Barris,45,Porta,115,3,4
2021-01-01,8,Nou Barris,45,Porta,2588,3,5
2021-01-01,8,Nou Barris,45,Porta,2992,4,1
2021-01-01,8,Nou Barris,45,Porta,289,4,2
2021-01-01,8,Nou Barris,45,Porta,625,4,3
2021-01-01,8,Nou Barris,45,Porta,126,4,4
2021-01-01,8,Nou Barris,45,Porta,2314,4,5
2021-01-01,8,Nou Barris,45,Porta,2031,5,1
2021-01-01,8,Nou Barris,45,Porta,267,5,2
2021-01-01,8,Nou Barris,45,Porta,497,5,3
2021-01-01,8,Nou Barris,45,Porta,177,5,4
2021-01-01,8,Nou Barris,45,Porta,1496,5,5
2021-01-01,8,Nou Barris,45,Porta,..,5,6
