Territorio,Tipo de territorio,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
les Roquetes,Barri,1415.69,1301.21,1126.07,1485.97,1278.39,1507.36,1889.22,1918.68,1842.86,1845.29,2157.07,1959.32,2063.45,2618.72
Verdun,Barri,1585.86,1440.15,1367.57,1832.10,1552.15,1825.45,2220.53,2066.73,2088.57,2061.28,2370.03,2185,2437.63,2724.35
la Prosperitat,Barri,1884.98,1688.35,1477.40,1878.76,1765.41,2032.54,2336.61,2362.88,2223.86,2295.90,2656.79,2441.06,2768.83,3055.16
la Trinitat Nova,Barri,1227.58,1208.88,950.76,1403.03,1218.67,1502.83,1673.18,1800.05,1728.67,1757.04,2052.21,2210.73,2051.96,2496.18
Torre Baró,Barri,1990.73,-,-,-,-,1103.67,797,-,1018,830.02,1324.75,1124.60,1174.18,1785.11
Ciutat Meridiana,Barri,1243.33,957.29,689.57,1482.05,930.03,1139.43,1516.79,1485.78,1528.88,1603.77,2369.65,1930.27,1688.84,2894.54
Vallbona,Barri,-,-,-,1929.40,1021.56,1120.17,1119,-,1194.80,-,1331,1115.17,-,1641.33
Sant Andreu (Distrito),-,2151.00,1755.83,1823.08,1990.36,1994.00,2419.23,2626.14,2717.25,2670.73,2746.76,2905.20,2809.74,3085.48,3497.51
la Trinitat Vella,Barri,1336.78,1120,1039.54,1658.26,1112.13,1542.12,1661.79,1703.43,1430.05,1509.02,2236.97,1815.32,2089.56,2377.11
Baró de Viver,Barri,-,613.20,438.50,634.31,660.86,1124.35,1121.80,1438.29,1459.33,1412.40,1436.17,1710.75,1718.19,1724.80
el Bon Pastor,Barri,1556.74,1592.70,1540.22,1619.74,1538.65,1931.75,2150.70,2175.02,2134.12,2080.99,2351.82,2180.41,2305.60,3025.22
Sant Andreu (Barrio),-,2364.75,1828.75,1940.34,2023.96,2381.87,2693.25,2895.27,2906.89,2984.35,3049.72,3163.33,3084.81,3384.09,3860.93
la Sagrera,Barri,2337.94,1806.55,2042.57,2173.23,2180.55,2531.84,2793.34,3009.46,2949.39,2897.66,3053.36,3304.12,3616.37,3626.08
el Congrés i els Indians,Barri,2005.26,1768.52,1551.91,1919.10,2069.77,2341.02,2668.89,2712.10,2739.47,2784.86,2997.21,2675.22,2889.76,3765.01
Navas,Barri,2061.63,1877.98,1798.61,2201.83,1777.23,2618.31,2864.85,2948.99,2895.82,3011.44,3059.22,3081.91,3404.07,3992.85
Sant Martí,Districte,2431.74,2122.19,2168.54,2480.66,2458.14,3001.09,3069.50,3029.05,3040.11,3095.35,3489.59,3377.23,3658.31,4076.36
el Camp de l'Arpa del Clot,Barri,2340.89,1985.14,2006.01,2314.66,2502.09,3106.18,3377.92,3286.86,3251.45,3182.46,3409.44,3530.94,3616.32,4240.72
el Clot,Barri,2223.13,1869.13,1985.16,2145.04,2443.04,2955.39,2964.37,3167.66,3235.30,3162.73,3618.60,3395.43,3640.56,4064.67
el Parc i la Llacuna del Poblenou,Barri,2425.78,2120.55,2070.76,2785.36,2746.70,3394.54,3683.10,3673.90,3536.10,3751.56,4123.83,4053.21,4405.63,4647.33
la Vila Olímpica del Poblenou,Barri,3438.27,3011.40,2986.34,3296.34,3782.13,4430.04,4404.96,3364.97,4428.06,4180.47,4550.80,4924.73,4895.74,5214.44
el Poblenou,Barri,2648.84,2492.72,2550.99,2717.55,2924.23,3620.13,3767.38,3754.95,3862.78,3940.33,4390.15,4052.49,4642.29,5257.91
Diagonal Mar i el Front Marítim del Poblenou,Barri,4411.21,4182.38,2970.68,5118.35,4210.76,5241.33,4748.45,4261.27,4490.72,3884.65,5155.80,5066.13,5458.41,5379.08
el Besòs i el Maresme,Barri,1573.42,1363.01,1212.03,1743.15,1554.63,1824.91,2004.26,2034.82,2033.33,2331.19,2735.28,2418.33,2610.31,3009.45
Provençals del Poblenou,Barri,2319.18,1604.56,1756.13,2091.37,2266.33,2876.21,3004.74,2940.28,2852.16,2864.59,3205.60,3209.31,3544.15,4165.61
Sant Martí de Provençals,Barri,1858.60,1523.49,1543.70,1908.66,1988.13,2224.92,2442.11,2481.02,2516.09,2603.21,2694.65,2661.88,2887.81,3338.85
la Verneda i la Pau,Barri,1658.51,1449.99,1522.60,1842.44,1733.46,2027.57,2115.50,2278.00,2202.11,2201.93,2351.47,2290.78,2785.30,2940.80
